id,left_employee_flag,age_years,tenure_below_1yr_flag,manager_flag,climate,climate_change,question 21,question 23
474,Staying employees,41,0,0,56.0,,28.0,100.0
475,Leaving employees,21,0,0,100.0,,,
476,Staying employees,30,1,0,71.5,,,
477,Staying employees,40,0,0,79.7,-17.3,17.0,61.0
478,Staying employees,50,0,0,60.7,-18.0,95.0,88.0
479,Staying employees,59,0,0,74.1,30.0,46.5,96.0
480,Leaving employees,21,0,0,79.5,,,
481,Staying employees,44,1,0,86.7,6.0,26.0,
482,Staying employees,29,0,0,95.8,3.0,,
483,Staying employees,26,0,0,96.6,8.0,24.5,100.0
484,Staying employees,52,0,0,92.5,-3.3,,
485,Leaving employees,44,0,0,90.0,,,
486,Staying employees,32,0,0,50.8,1.5,50.0,
487,Staying employees,46,0,0,82.0,27.0,70.0,100.0
488,Staying employees,39,0,0,77.9,-3.7,61.0,92.0
489,Staying employees,33,0,0,89.2,10.5,99.0,
490,Leaving employees,24,0,0,93.9,-1.7,100.0,100.0
491,Staying employees,42,0,0,78.6,-5.5,56.0,100.0
492,Staying employees,63,0,0,100.0,,,
493,Leaving employees,30,0,0,88.7,32.0,70.0,96.0
494,Staying employees,28,0,0,95.5,6.0,100.0,
495,Staying employees,38,0,1,59.0,21.2,50.0,75.5
496,Leaving employees,23,0,0,100.0,,100.0,
497,Staying employees,32,0,0,70.3,,,
498,Staying employees,40,0,0,81.0,,,
499,Staying employees,34,0,0,94.0,0.0,60.0,100.0
500,Staying employees,55,0,0,72.5,14.0,100.0,100.0
501,Staying employees,22,0,0,100.0,0.0,,100.0
502,Staying employees,39,0,0,82.1,0.0,87.5,100.0
503,Staying employees,39,0,0,93.4,-15.3,63.5,75.0
